STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên Tu Tập (Advice)
1,"Quẻ Số 1 - Thượng Thượng (Hán Cao Tổ nhập Quan)","Khai thiên tịch địa tác lương duyên,\nCát nhật lương thời vạn vật toàn.\nNhược đắc thử xăm phi tiểu khả,\nLập thân vinh hiển kiến công danh.","Mở trời dựng đất tạo mối duyên lành,\nNgày tốt giờ lành vạn vật vẹn toàn.\nNếu xin được quẻ này không phải chuyện nhỏ,\nLập thân vinh hiển, công danh rạng rỡ.","Đây là quẻ đại cát. Mọi việc đều thuận lợi, như trời đất mới khai sinh, vạn vật tốt tươi. Cầu danh được danh, cầu lợi được lợi, bệnh tật tiêu tan, gia đạo an khang.","Hãy giữ tâm ý trong sáng như thuở ban đầu. Khi vận khí đang lên, cần khiêm tốn và biết chia sẻ phước báu với người khó khăn để phước đức được bền lâu. Siêng năng làm việc thiện để củng cố nền tảng."
2,"Quẻ Số 2 - Thượng Thượng (Tô Tần bất đệ)","Kình thiên bạch ngọc trụ,\nHóa hải giá kim lương.\nVạn thế tận quy tị,\nGiáo quân thử nhật cường.","Cột ngọc trắng chống trời,\nCầu vàng bắc qua biển.\nMuôn đời đều nể phục,\nKhiến bạn ngày nay mạnh mẽ.","Quẻ này báo hiệu điềm lành to lớn. Tuy trước mắt có thể gặp chút trắc trở (như Tô Tần thi rớt) nhưng đó là thử thách để rèn luyện chí lớn. Sau này ắt làm nên nghiệp bá, vạn người kính nể.","Đừng nản lòng trước thất bại tạm thời. Hãy coi nghịch cảnh là môi trường tu tập nhẫn nhục. Kiên trì mài giũa trí tuệ và đạo đức, thời cơ đến sẽ chuyển hóa mạnh mẽ. Tu tâm dưỡng tính, chờ thời."
3,"Quẻ Số 3 - Hạ Hạ (Đổng Vĩnh ngộ Tiên)","Lâm mộc xuân mộc mậu,\nDương dương thả xướng tình.\nKinh luân đa trở trệ,\nLợi thiệp quý nhân kinh.","Rừng cây mùa xuân tươi tốt,\nDương dương cất tiếng hát vang.\nKinh luân gặp nhiều trở ngại,\nQua sông sợ gặp sóng gió kinh hoàng.","Bề ngoài nhìn có vẻ tốt đẹp (cây mùa xuân) nhưng thực chất bên trong nhiều rối ren. Mưu sự khó thành, tài lộc khó cầu. Nên an phận thủ thường, tránh đi xa hay đầu tư lớn.","Giai đoạn này nên quay về nương tựa nội tâm. Thay vì hướng ngoại tìm cầu, hãy dành thời gian sám hối nghiệp chướng và tụng kinh niệm Phật. Giữ tâm tĩnh lặng trước biến động, tránh tham sân si."
4,"Quẻ Số 4 - Thượng Thượng (Ngọc Liên hoàn hương)","Thiên niên cổ kính hựu trùng viên,\nNữ tái cầu phu nam tái hôn.\nTự thử môn đình trùng cải hoán,\nCánh thiêm phúc lộc tại nhi tôn.","Gương cổ ngàn năm lại tròn đầy,\nNữ lại cầu chồng, nam lấy vợ.\nTừ nay cửa nhà thay đổi mới,\nPhúc lộc dồi dào để cháu con.","Gương vỡ lại lành, mọi sự chia ly sẽ được đoàn tụ. Vận khí thay đổi theo hướng tích cực, nhà cửa vui vẻ, con cháu hưởng phúc. Rất tốt cho việc hôn nhân và gia đạo.","Hãy trân trọng những mối duyên lành đang có. Tu tập hạnh lắng nghe và tha thứ để hàn gắn các mối quan hệ đổ vỡ. Lấy chữ 'Hòa' làm gốc trong gia đình và công việc."
5,"Quẻ Số 5 - Trung Bình (Lữ Mông Chánh thủ Nguyệt Nga)","Nhất sừ quật địa yêu cầu tuyền,\nNỗ lực cầu chi đắc tối nan.\nVô ý nga nhiên ngộ tri kỷ,\nTương phùng huề thủ thượng thanh thiên.","Một cuốc đào đất muốn tìm suối,\nRa sức cầu tìm thật khó khăn.\nVô tình bất ngờ gặp tri kỷ,\nCầm tay cùng dắt lên trời xanh.","Cố sức tìm kiếm thì khó thấy, nhưng khi không mong cầu thì lại gặp may mắn bất ngờ. Quẻ này khuyên không nên cưỡng cầu quá mức, vạn sự tùy duyên sẽ có quý nhân phù trợ.","Học cách buông bỏ sự dính mắc vào kết quả. Cứ làm tốt việc của mình với tâm vô cầu (không mong đợi thái quá). Thực hành thiền định để tâm trí sáng suốt, nhận ra cơ hội (quý nhân) khi nó đến."
6,"Quẻ Số 6 - Hạ Hạ (Nhân Quý ngộ chủ)","Đầu thân nham hạ tự thê lương,\nTảo ẩn mao lư vạn sự thương.\nNhược ngộ quý nhân dụ dẫn tiếp,\nXuân sơn y cựu thảo thanh thanh.","Nương thân dưới vách đá thê lương,\nẨn mình nhà cỏ vạn sự thương.\nNếu gặp quý nhân dìu dắt tiếp,\nNúi xuân như cũ cỏ xanh rì.","Hiện tại hoàn cảnh khó khăn, bế tắc, giống như ở ẩn trong nhà tranh vách đá. Tự lực cánh sinh rất khó, phải kiên nhẫn chờ đợi quý nhân tới giúp đỡ thì mới mong khởi sắc.","Đây là thời điểm thử thách lòng kiên nhẫn (Nhẫn Ba La Mật). Không nên oán trời trách người. Hãy sống đơn giản, tiết kiệm và giữ gìn sức khỏe. Năng làm việc thiện nhỏ để tích tụ phước đức chờ vận hội."
7,"Quẻ Số 7 - Đại Cát (Tô Đông Pha du giang)","Bôn ba dịch mã thượng chinh đồ,\nNhân tự sâm thương quỷ quyệt mưu.\nÝ mã tâm viên hưu túng phóng,\nThảo đường thâm tỏa độc thư đăng.","Ngựa trạm bôn ba trên đường dài,\nNgười như sao Sâm sao Thương bày mưu quỷ.\nTâm ý như khỉ vượn chớ thả rông,\nĐóng cửa nhà cỏ chong đèn đọc sách.","Quẻ khuyên nên tĩnh, không nên động. Bên ngoài nhiều cạm bẫy, mưu mô. Nên rút lui về quy ẩn, trau dồi kiến thức (đọc sách), chờ thời cơ tốt hơn. Đi xa bất lợi.","Cần kiểm soát tâm ý (tâm viên ý mã), đừng để dục vọng dẫn dắt mà sa vào cạm bẫy. Dành thời gian tu học, nghiên cứu kinh sách hoặc học kỹ năng mới. Sự tĩnh lặng lúc này là trí tuệ."
8,"Quẻ Số 8 - Thượng Thượng (Bùi Độ hoàn đai)","Mậu lâm tùng bách chính hưng vinh,\nVũ tuyết phong sương tổng bất kinh.\nHạnh đắc đống lương thành đại dụng,\nLục âm thâm xử thính cầm thanh.","Rừng rậm tùng bách đang tươi tốt,\nMưa tuyết gió sương chẳng sợ gì.\nMay được rường cột thành dụng lớn,\nNơi sâu bóng mát lắng tiếng đàn.","Người xin được quẻ này có bản lĩnh vững vàng như cây tùng cây bách, không sợ gian nan. Sẽ trở thành người hữu dụng, gánh vác việc lớn, hậu vận an nhàn hưởng lạc.","Phát huy tinh thần dũng mãnh và kiên định. Dù gặp chướng ngại cũng không lùi bước (Tinh tấn). Hãy dùng tài năng và vị thế của mình để che chở, giúp đỡ cho người yếu thế hơn."
9,"Quẻ Số 9 - Trung Bình (Khổng Minh điểm tướng)","Lao quân diệc dịch sự đa đoan,\nThủy tại gia trung dưỡng bách niên.\nTống hỷ phùng quan chung hữu cát,\nBất câu bỉ thử nại an toàn.","Nhọc lòng thay đổi việc đa đoan,\nThà ở trong nhà dưỡng trăm năm.\nĐưa tin gặp quan sau có lợi,\nChẳng nề đây đó được bình an.","Công việc hiện tại nhiều rắc rối, thay đổi cũng không giải quyết được gì. Tốt nhất là giữ nguyên hiện trạng, an phận thủ thường thì sẽ được bình an và có lợi về sau.","Học cách chấp nhận hiện tại (Tri túc). Đừng đứng núi này trông núi nọ khiến tâm bất an. Tập trung làm tròn bổn phận của mình tại vị trí hiện tại với tâm chánh niệm."
10,"Quẻ Số 10 - Hạ Hạ (Bàng Quyên hại Bàng Thống)","Bào hao bảo hạp tàng trân bảo,\nThạch lý uẩn ngọc thạch vị phân.\nTrực đãi quý nhân lai chỉ dẫn,\nGiảo long tùng thử đắc vân tân.","Hộp báu cất giữ trân bảo quý,\nTrong đá ẩn ngọc đá chưa phân.\nPhải đợi quý nhân về chỉ dẫn,\nThuồng luồng từ đó gặp mây vần.","Tài năng có nhưng chưa được công nhận, như ngọc còn ẩn trong đá. Hiện tại chưa phải lúc tỏa sáng. Dễ bị tiểu nhân ganh ghét hãm hại. Cần ẩn nhẫn chờ người có mắt xanh (quý nhân) khai phá.","Tránh phô trương tài năng hay của cải để không chuốc lấy sự đố kỵ (tránh nạn tiểu nhân). Tu tập đức khiêm hạ. Hãy âm thầm rèn luyện nội lực, khi thời cơ đến mới bung tỏa."
