STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên (Advice)
1,"Quẻ Số 1 - Thượng Thượng (Hán Vương đào viên kết nghĩa)","Nguy nguy độc bộ hướng vân gian,\nNgọc điện thiên cung đệ nhất ban.\nPhú quý vinh hoa thiên phó dữ,\nPhúc như Đông hải thọ Nam san.","Cao ngất một mình bước tới mây,\nCung trời điện ngọc đứng đầu ngay.\nVinh hoa phú quý trời ban tặng,\nPhúc tựa biển Đông thọ sánh non.","Đây là quẻ đại cát, mở đầu cho sự nghiệp lớn. Như Lưu Bị, Quan Công, Trương Phi kết nghĩa vườn đào. Mọi việc đều hanh thông, cầu danh được danh, cầu lợi được lợi. Nền tảng vững chắc, phúc thọ song toàn.","Muốn làm việc lớn phải tìm được người đồng chí hướng (kết nghĩa). Sự đoàn kết và lòng trung thành là chìa khóa của thành công. Hãy giữ trọn chữ Tín và Nghĩa với cộng sự."
2,"Quẻ Số 2 - Thượng Cát (Tiết Nhân Quý về quê)","Lăng vân tráng chí vị thù cung,\nH荷 (Hà) sáp cao khiêu chiếu đại đồng.\nThủ đắc đông lân quy cố lý,\nSương thôi bạch phát hỉ ông ông.","Chí lớn lăng vân chửa thỏa lòng,\nCờ cao phấp phới chiếu non sông.\nThắng trận miền Đông quay về cũ,\nSương điểm mái đầu thỏa chí ông.","Sau bao năm chinh chiến gian khổ (như Tiết Nhân Quý), nay công thành danh toại vinh quy bái tổ. Tuy tuổi đã cao (tóc trắng) nhưng vinh quang rực rỡ, con cháu đầy nhà, hưởng phúc thanh nhàn.","Thành công không đến sớm mà đến sau quá trình phấn đấu bền bỉ. Đừng nản lòng nếu hiện tại còn gian khó. Hãy kiên trì mục tiêu, hậu vận ắt sẽ vinh hiển. Trọng nghĩa khinh tài."
3,"Quẻ Số 3 - Hạ Hạ (Mạnh Nhật Hồng tìm chồng)","Âm dương đạo hợp sự nan thành,\nNhược đắc hòa hài mạn trịch kinh.\nBình địa phong ba nghi trắc khởi,\nChỉ khủng nhân tâm bất tị tinh.","Âm dương đạo hợp việc khó thành,\nVí được hòa hài cũng chớ khinh.\nĐất bằng sóng gió ngờ dậy nát,\nChỉ sợ lòng người chẳng giống mình.","Duyên phận trắc trở, âm dương không thuận. Việc tưởng thành lại hỏng. Sóng gió nổi lên từ đất bằng. Đáng sợ nhất là lòng người nham hiểm, thay trắng đổi đen, bằng mặt không bằng lòng.","Cẩn trọng tối đa trong các mối quan hệ. Đừng quá tin người, kể cả người thân cận. Giữ tâm vững vàng trước thị phi. Lúc này nên 'án binh bất động', không nên mưu sự lớn hay đi xa."
4,"Quẻ Số 4 - Hạ Hạ (Tôn Tẫn bị hại)","Lao tâm phí lực sự nan thành,\nPhá đảm kinh hồn mộng bất ninh.\nĐô lại hoa ngôn hòa xảo ngữ,\nPhùng nhân mạc thuyết uẩn trung tình.","Nhọc lòng tốn sức việc khó thành,\nVỡ mật kinh hồn mộng chẳng lành.\nĐều tại lời hoa cùng tiếng khéo,\nGặp người chớ nói chuyện tâm tình.","Bị kẻ gian dùng lời ngon ngọt lừa hại (như Tôn Tẫn bị Bàng Quyên hại). Tổn hao tâm sức mà việc không thành, lại còn gặp nguy hiểm, hoảng sợ. Tuyệt đối không được thổ lộ tâm can cho người khác biết.","Bài học xương máu về sự tin người. 'Họa tòng khẩu xuất', hãy giữ bí mật về kế hoạch của mình. Dùng trí tuệ để nhận diện kẻ tiểu nhân ném đá giấu tay. Ẩn nhẫn chờ thời để thoát nạn."
5,"Quẻ Số 5 - Trung Bình (Tô Tần bị nhục)","Du ngư hý thủy ngộ ba đào,\nHướng đạo bình an vận vị tao.\nNhất bộ nam thiên vô thốn thổ,\nThả bôn bắc khuyết nhậm tiêu dao.","Cá vui giỡn nước gặp ba đào,\nMuốn được bình an vận chưa vào.\nTrời nam một bước không tấc đất,\nHãy chạy cung bắc mặc tiêu dao.","Như cá bơi gặp sóng dữ, muốn yên ổn cũng khó. Ở phương Nam không có đất dung thân (bị nhục nhã, thất bại). Nên thay đổi phương hướng, đi về phương Bắc thì mới mong tìm được cơ hội hoặc sự bình an.","Khi môi trường hiện tại không còn phù hợp hoặc bị chèn ép, hãy dũng cảm thay đổi (nhảy việc, chuyển chỗ ở). Sự linh hoạt trong phương hướng hành động sẽ mở ra sinh lộ mới."
6,"Quẻ Số 6 - Thượng Cát (Mạnh Lân dâng trân châu)","Manh nha cửu hạn đắc cam lâm,\nKhô mộc phùng xuân hoa sắc tân.\nCựu nhật nguy nguy kim dĩ thoát,\nNhất môn hỉ khí tự hân hân.","Mầm non hạn hán gặp mưa rào,\nCây héo gặp xuân sắc mới vào.\nNgày cũ gian nan nay đã thoát,\nMột nhà vui vẻ xiết bao nhiêu.","Hạn hán gặp mưa rào, cây khô đâm chồi nảy lộc. Thời kỳ khó khăn, nguy hiểm nhất đã qua đi. Nay vận may ập đến, cả nhà vui vẻ, hỷ khí ngập tràn. Mọi sự mong cầu đều toại nguyện.","Hãy biết ơn những ân điển bất ngờ đến với mình (cam lâm). Chia sẻ niềm vui và sự may mắn với người khác. Đây là lúc thuận lợi để triển khai các kế hoạch đã ấp ủ bấy lâu."
7,"Quẻ Số 7 - Đại Cát (Lã Mông Chánh đỗ Trạng)","Thiên ban vũ trụ tứ phương xuân,\nLong hổ phong vân tế hội tần.\nNhất tiếu giải khai thiên tải sự,\nNgư thân hóa điểu thượng thanh vân.","Trời đẹp bốn phương rạng sắc xuân,\nRồng mây gặp hội đã bao lần.\nCười vang giải hết ngàn năm việc,\nThân cá hóa chim vút dặm trần.","Thời cơ vàng đã đến, bốn phương đều là mùa xuân. Rồng mây gặp hội, cá chép hóa rồng (hóa chim). Công danh thăng tiến tột bậc, giải tỏa mọi uất ức nghìn năm. Đỗ đạt cao, làm quan lớn.","Tự tin nắm bắt cơ hội tỏa sáng. Đừng ngần ngại thể hiện tài năng. Tuy nhiên, khi ở đỉnh cao (hóa điểu), cần nhớ đến thuở hàn vi để giữ đức khiêm cung, tránh kiêu ngạo kẻo rước họa."
8,"Quẻ Số 8 - Thượng Cát (Đại Thuấn cày ruộng)","Niên lai canh giá khổ vô thu,\nKim tuế điền tàm sự sự chu.\nThúy trúc hoàng hoa giai phật tính,\nNhất ban tạo hóa nhậm công phu.","Năm qua cày cấy khổ không thu,\nNăm nay ruộng kén việc việc chu.\nTrúc biếc hoa vàng đều phật tính,\nMột bầu tạo hóa mặc công phu.","Năm trước vất vả mà tay trắng, năm nay thì bội thu cả ruộng nương lẫn tằm tơ. Mọi việc đều chu toàn, tốt đẹp. Nhìn đâu cũng thấy sự an lạc (trúc biếc hoa vàng). Công sức bỏ ra được đền đáp xứng đáng.","Đức năng thắng số. Sự hiếu thảo và chăm chỉ (như vua Thuấn) sẽ cảm động trời xanh. Hãy nhìn cuộc đời bằng con mắt lạc quan và tâm từ bi, bạn sẽ thấy mọi sự an bài đều có ý nghĩa tốt đẹp."
9,"Quẻ Số 9 - Trung Bình (Tống Thái Tổ tìm cha)","Vọng cừu mạc thán lao tâm lực,\nNhật xuất đông phương hỷ khí nùng.\nNhất điếu kim lân vãn túc nguyện,\nThị phi khẩu thiệt tận quy không.","Trông cầu chớ than nhọc tâm lực,\nNgày mọc phương đông hỷ khí nồng.\nMột lưỡi câu vàng xong nguyện cũ,\nThị phi miệng tiếng thảy về không.","Đừng than vãn là tốn công vô ích. Mặt trời đang mọc ở phương Đông, tin vui đang tới. Sẽ câu được cá vàng (đạt được ước nguyện lớn), mọi lời đồn đại thị phi sẽ tự tan biến hết.","Kiên định với mục tiêu, bỏ ngoài tai những lời gièm pha. Sự thật và thành quả cuối cùng sẽ là câu trả lời đanh thép nhất. Hướng về phía ánh sáng (phương Đông) để đón nhận năng lượng tích cực."
10,"Quẻ Số 10 - Hạ Hạ (Mạnh Khương Nữ tìm chồng)","Giang hồ mạc vấn sự như hà,\nKhán phá phù sinh nhất chỉ ca.\nBệnh nhiễm trầm kha nan đắc dũ,\nCô phan độc túc ngộ phong ba.","Giang hồ chớ hỏi sự thế nào,\nNhìn thấu kiếp phù sinh giấc chiêm bao.\nBệnh nhiễm nặng nề khôn thuốc chữa,\nThuyền côi ngủ lẻ gặp ba đào.","Quẻ rất xấu. Đời người như giấc mộng, chớ bôn ba giang hồ làm gì. Bệnh nặng khó chữa, đi thuyền một mình lại gặp bão tố. Cảnh ngộ cô đơn, nguy hiểm, tuyệt vọng.","Nên buông bỏ những tranh đấu danh lợi hão huyền. Quay về chăm sóc sức khỏe và tinh thần. Thực hành lối sống an phận, tụng kinh niệm Phật để cầu bình an. Tránh đi xa, tránh sông nước."
